"A01AA","CARIES PROPHYLACTIC AGENTS"
"S01EA01","EPINEPHRINE"
"S01EA02","DIPIVEFRINE"
"S01EA03","APRACLONIDINE"
"S01EA05","BRIMONIDINE"
"S01EB01","PILOCARPINE"
"S01EB02","CARBACHOL"
"S01EB03","ECOTHIOPATE"
"S01EB09","ACETYLCHOLINE"
"S01EB51","PILOCARPINE, COMBINATIONS"
"S01EC01","ACETAZOLAMIDE"
"S01EC03","DORZOLAMIDE"
"S01EC04","BRINZOLAMIDE"
"S01EC05","METHAZOLAMIDE"
"S01EC54","BRINZOLAMIDE, COMBINATIONS"
"S01ED01","TIMOLOL"
"S01ED02","BETAXOLOL"
"S01ED03","LEVOBUNOLOL"
"S01ED51","TIMOLOL, COMBINATIONS"
"S01ED53","LEVOBUNOLOL, COMBINATIONS"
"S01EE01","LATANOPROST"
"S01EE02","UNOPROSTONE"
"S01EE03","BIMATOPROST"
"S01EE04","TRAVOPROST"
"S01FA01","ATROPINE"
"S01FA04","CYCLOPENTOLATE"
"S01FA05","HOMATROPINE"
"S01FA06","TROPICAMIDE"
"S01FA56","TROPICAMIDE, COMBINATIONS"
"S01FB01","PHENYLEPHRINE"
"S01GA01","NAPHAZOLINE"
"S01GA02","TETRYZOLINE"
"S01GA04","OXYMETAZOLINE"
"S01GA05","PHENYLEPHRINE"
"S01GA51","NAPHAZOLINE, COMBINATIONS"
"S01GA52","TETRYZOLINE, COMBINATIONS"
"S01GA53","XYLOMETHAZOLINE, COMBINATIONS"
"S01GA55","PHENYLEPHRINE, COMBINATIONS"
"S01GX01","CROMOGLICIC ACID"
"S01GX02","LEVOCABASTINE"
"S01GX04","NEDOCROMIL"
"S01GX05","LODOXAMIDE"
"S01GX06","EMEDASTINE"
"S01GX08","KETOTIFEN"
"S01GX09","OLOPATADINE"
"S01HA02","OXYBUPROCAINE"
"S01HA03","TETRACAINE"
"S01HA04","PROXYMETACAINE"
"S01JA01","FLUORESCEIN"
"S01JA02","ROSE BENGAL SODIUM"
"S01JA51","FLUORESCEIN, COMBINATIONS"
"S01KX01","CHYMOTRYPSIN"
"S01KX02","TRYPAN BLUE"
"S01LA01","VERTEPORFIN"
"S01LA03","PEGAPTANIB"
"S01LA04","RANIBIZUMAB"
"S01LA05","Aflibercept"
"S01XA","OTHER OPHTHALMOLOGICALS"
"S01XA03","SODIUM CHLORIDE, HYPERTONIC"
"S01XA18","CICLOSPORIN"
"S01XA20","ARTIFICIAL TEARS AND OTHER INDIFFERENT PREP."
"S01XA22","Ocriplasmin"
"S02AA01","CHLORAMPHENICOL"
"S02AA14","GENTAMICIN"
"S02AA30","ANTIINFECTIVES, COMBINATIONS"
"S02BA08","FLUOCINOLONE ACETONIDE"
"S02CA02","FLUMETASONE AND ANTIINFECTIVES"
"S02CA03","HYDROCORTISONE AND ANTIINFECTIVES"
"S02CA05","FLUOCINOLONE ACETONIDE AND ANTIINFECTIVES"
"S02CA06","DEXAMETHASONE AND ANTIINFECTIVES"
"S02DA30","COMBINATIONS"
"S02DC","INDIFFERENT PREPARATIONS"
"S03AA07","CIPROFLOXACIN"
"S03AA30","ANTIINFECTIVES, COMBINATIONS"
"S03BA01","DEXAMETHASONE"
"S03BA03","BETAMETHASONE"
"S03CA01","DEXAMETHASONE AND ANTIINFECTIVES"
"S03CA04","HYDROCORTISONE AND ANTIINFECTIVES"
"S03CA06","BETAMETHASONE AND ANTIINFECTIVES"
"V01AA02","GRASS POLLEN"
"V01AA03","HOUSE DUST MITES"
"V01AA05","TREE POLLEN"
"V01AA07","INSECTS"
"V01AA11","ANIMALS"
"V01AA20","VARIOUS"
"V03AB","ANTIDOTES"
"V03AB01","IPECACUANHA"
"V03AB03","EDETATES"
"V03AB04","PRALIDOXIME"
"V03AB06","THIOSULPHATE"
"V03AB09","DIMERCAPROL"
"V03AB14","PROTAMINE"
"V03AB15","NALOXONE"
"V03AB17","METHYLTHIONINE"
"V03AB19","PHYSOSTIGMINE"
"V03AB21","POTASSIUM IODIDE"
"V03AB22","AMYL NITRITE"
"V03AB24","DIGITALIS ANTITOXIN"
"V03AB25","FLUMAZENIL"
"V03AB33","HYDROXOCOBALAMIN"
"V03AB34","FOMEPIZOLE"
"V03AB51","IPECACUANHA, COMBINATIONS"
"V03AC01","DEFEROXAMINE"
"V03AC03","DEFERASIROX"
"V03AE","DRUGS FOR TREATMENT OF HYPERKALEMIA AND HYPERPHOSPHATEMIA"
"V03AE01","POLYSTYRENE SULPHONATE"
"V03AE02","SEVELAMER"
"V03AE03","LANTHANUM CARBONATE"
"V03AF01","MESNA"
"V03AF02","DEXRAZOXANE"
"V03AF03","CALCIUM FOLINATE"
"V03AF05","AMIFOSTINE"
"V03AF07","RASBURICASE"
"V03AF08","PALIFERMIN"
"V03AG","DRUGS FOR TREATMENT OF HYPERCALCEMIA"
"V03AH01","DIAZOXIDE"
"V03AN","MEDICAL GASES"
"V03AN01","OXYGEN"
"V03AN02","CARBON DIOXIDE"
"V03AN03","HELIUM"
"V03AN04","NITROGEN"
"V03AN05","MEDICAL AIR"
"V03AN20","COMBINATION"
"V03AX","OTHER THERAPEUTIC PRODUCTS"
"V03AZ01","ETHANOL"
"V04C","OTHER DIAGNOSTIC AGENTS"
"V04CA02","GLUCOSE"
"V04CC03","SINCALIDE"
"V04CD","TESTS FOR PITUITARY FUNCTION"
"V04CF01","TUBERCULIN"
"V04CG03","HISTAMINE"
"V04CG04","PENTAGASTRIN"
"V04CG05","METHYLTHIONINE"
"V04CH02","INDIGO CARMINE"
"V04CH30","AMINOHIPPURIC ACID"
"V04CJ01","THYROTROPHIN"
"V04CJ02","PROTIRELIN"
"V04CK01","SECRETIN"
"V04CK02","PANCREOZYMIN (CHOLECYSTOKININ)"
"V04CL","TESTS FOR ALLERGIC DISEASES"
"V04CM01","GONADORELIN"
"V04CX","OTHER DIAGNOSTIC AGENTS"
"V06","GENERAL NUTRIENTS"
"V06D","OTHER NUTRIENTS"
"V06DA","CARBOHYDRATES/PROTEINS/MINERALS/VITAMINS, COMB"
"V06DB","FAT/CARBOHYDRATES/PROTEINS/MINERALS/VITAMINS, COMB"
"V06DC01","GLUCOSE"
"V06DD","AMINO ACIDS,INCL COMBINATIONS WITH POLYPEPTIDES"
"V06DE","AMINO ACIDS/CARBOHYDRATES/MINERALS/VITAMINS, COMB"
"V06DF","MILK SUBSTITUTES"
"V06DX","OTHER COMBINATIONS OF NUTRIENTS"
"V07AB","SOLVENTS AND DILUTING AGENTS,INCL IRRIGAT SOLUT"
"V07AC","BLOOD TRANSFUSION, AUXILIARY PRODUCTS"
"V07AT","COSMETICS"
"V07AV","TECHNICAL DISINFECTANTS"
"V07AX","WASHING AGENTS ETC."
"V07AY","OTHER NON-THERAPEUTIC AUXILIARY PRODUCTS"
"V08AA","WATERSOL.,NEPHROTROPIC,HIGH OSM. X-RAY CONTR.MEDIA"
"V08AA01","DIATRIZOIC ACID"
"V08AA04","IOTALAMIC ACID"
"V08AA05","IOXITALAMIC ACID"
"V08AB02","IOHEXOL"
"V08AB03","IOXAGLIC ACID"
"V08AB04","IOPAMIDOL"
"V08AB05","IOPROMIDE"
"V08AB06","IOTROLAN"
"V08AB07","IOVERSOL"
"V08AB09","IODIXANOL"
"V08AC04","ADIPIODONE"
"V08AC06","IOPANOIC ACID"
"V08AC08","SODIUM IOPODATE"
"V08AD01","ETHYL ESTERS OF IODISED FATTY ACIDS"
"V08AD02","IOPYDOL"
"V08BA01","BARIUM SULPHATE WITH SUSPENDING AGENTS"
"V08BA02","BARIUM SULPHATE WITHOUT SUSPENDING AGENTS"
"V08CA01","GADOPENTETIC ACID"
"V08CA03","GADODIAMIDE"
"V08CA04","GADOTERIDOL"
"V08CA05","MANGAFODIPIR"
"V08CA06","GADOVERSETAMIDE"
"V08CA08","GADOBENIC ACID"
"V08CA09","GADOBUTROL"
"V08CA10","GADOXETIC ACID"
"V08CA11","GADOFOSVESET"
"V08DA01","MICROSPHERES OF HUMAN ALBUMIN"
"V08DA02","MICROPARTICLES OF GALACTOSE"
"V08DA04","MICROSPHERES OF PHOSPHOLIPIDS"
"V10XA53","TOSITUMOMAB/IODINE (131 I) TOSITUMOMAB"
