"10","N05CA06","SECOBARBITAL","28:24.04","BARBITURATES"
"73262","C01EB09","UBIDECARENONE","88:30.00*","OTHER NUTRITIONAL AGENTS"
"73263","A12AA04","CALCIUM CARBONATE","88:29.00*","MINERALS"
"73265","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"73266","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"73267","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"73268","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"73269","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"73276","D02AA","SILICONE PRODUCTS","84:24.12","BASIC OINTMENTS AND PROTECTANTS"
"73278","D04AB07","PRAMOCAINE","84:08.00","ANTIPRURITICS AND LOCAL ANESTHETICS"
"73284","A11GA01","ASCORBIC ACID (VIT C)","88:12.00","VITAMIN C"
"73285","A11GA01","ASCORBIC ACID (VIT C)","88:12.00","VITAMIN C"
"73291","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"73292","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"73294","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"73295","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"73297","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)"
"73303","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"73305","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"73306","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"7332","J01FA01","ERYTHROMYCIN","08:12.12.04","ERYTHROMYCINS"
"73322","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"73323","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"7333","A06AD11","LACTULOSE","56:12.00","CATHARTICS AND LAXATIVES"
"73349","J01MA15","GEMIFLOXACIN","08:12.18","QUINOLONES"
"73353","D02BA02","OCTYL METHOXYCINNAMATE","84:80.00","SUNSCREEN AGENTS"
"73357","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)"
"7336","V08BA01","BARIUM SULPHATE WITH SUSPENDING AGENTS","36:68.00","ROENTGENOGRAPHY"
"73370","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"73372","D08AE04","TRICLOSAN","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES"
"73373","D08AJ01","BENZALKONIUM","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES"
"73374","D08AJ01","BENZALKONIUM","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES"
"73375","D08AJ01","BENZALKONIUM","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES"
"7338","A11HA03","TOCOPHEROL (VIT E)","88:20.00","VITAMIN E"
"73380","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"73386","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"73389","D02BA02","OCTYL METHOXYCINNAMATE","84:80.00","SUNSCREEN AGENTS"
"7339","A11HA03","TOCOPHEROL (VIT E)","88:20.00","VITAMIN E"
"73390","D02BA02","OCTYL METHOXYCINNAMATE","84:80.00","SUNSCREEN AGENTS"
"73391","D02BA02","OCTYL METHOXYCINNAMATE","84:80.00","SUNSCREEN AGENTS"
"73392","A16AB03","AGALSIDASE ALFA","44:00.00","ENZYMES"
"73397","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"73398","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"734","R03DA04","THEOPHYLLINE","86:16.00","RESPIRATORY SMOOTH MUSCLE RELAXANTS"
"7340","A11GA01","ASCORBIC ACID (VIT C)","88:12.00","VITAMIN C"
"73401","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"73402","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"73404","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"7341","D08AE04","TRICLOSAN","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES"
"73411","N06AB04","CITALOPRAM","28:16.04.20","SELECTIVE-SEROTONIN REUPTAKE INHIBITORS"
"73412","N06AB04","CITALOPRAM","28:16.04.20","SELECTIVE-SEROTONIN REUPTAKE INHIBITORS"
"7342","D04AX","OTHER ANTIPRURITICS","84:24.12","BASIC OINTMENTS AND PROTECTANTS"
"73424","N02AB03","FENTANYL","28:08.08","OPIATE AGONISTS"
"73425","N02AB03","FENTANYL","28:08.08","OPIATE AGONISTS"
"73426","N02AB03","FENTANYL","28:08.08","OPIATE AGONISTS"
"73427","N02AB03","FENTANYL","28:08.08","OPIATE AGONISTS"
"73436","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"73437","D11AX11","HYDROQUINONE","84:50.04","DEPIGMENTING AGENTS"
"73438","D11AX11","HYDROQUINONE","84:50.04","DEPIGMENTING AGENTS"
"73441","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"73442","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"73450","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"73454","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)"
"73459","C10AA03","PRAVASTATIN","24:06.08","HMG-COA REDUCTASE INHIBITORS"
"73460","C10AA03","PRAVASTATIN","24:06.08","HMG-COA REDUCTASE INHIBITORS"
"73461","C10AA03","PRAVASTATIN","24:06.08","HMG-COA REDUCTASE INHIBITORS"
"73464","N06AX05","TRAZODONE","28:16.04.24","SEROTONIN MODULATORS"
"73465","C08DA01","VERAPAMIL","24:28.92","MISCELLANEOUS CALCIUM-CHANNEL BLOCKING AGENTS"
"73466","C01CE02","MILRINONE","24:04.08","CARDIOTONIC AGENTS"
"7347","A12AX","CALCIUM, COMBINATIONS WITH VITAMIN D AND/OR OTHER DRUGS","88:28.01*","VITAMINS & MINERALS"
"73474","N02AA03","HYDROMORPHONE","28:08.08","OPIATE AGONISTS"
"73475","N02AA03","HYDROMORPHONE","28:08.08","OPIATE AGONISTS"
"73476","D11AX12","PYRITHIONE ZINC","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES"
"7348","A12AX","CALCIUM, COMBINATIONS WITH VITAMIN D AND/OR OTHER DRUGS","88:28.01*","VITAMINS & MINERALS"
"73491","D08AJ51","BENZALKONIUM, COMBINATIONS","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES"
"735","J01AA07","TETRACYCLINE","08:12.24","TETRACYCLINES"
"7350","C01DA08","ISOSORBIDE DINITRATE","24:12.08","NITRATES AND NITRITES"
"7351","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS"
"73518","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)"
"7352","N02BE01","ACETAMINOPHEN (PARACETAMOL)","28:08.92","MISCELLANEOUS ANALGESICS AND ANTIPYRETICS"
"73520","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)"
"73522","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"73523","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"73524","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"73525","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"73536","D11AX11","HYDROQUINONE","84:50.04","DEPIGMENTING AGENTS"
"73538","N02BE51","ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS","48:08.00","ANTITUSSIVES"
"73539","N02BE51","ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS","12:12.12","ALPHA-AND BETA-ADRENERGIC AGONISTS"
"73539","N02BE51","ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS","28:08.92","MISCELLANEOUS ANALGESICS AND ANTIPYRETICS"
"73546","C03AA03","HYDROCHLOROTHIAZIDE","40:28.20","THIAZIDE DIURETICS"
"73547","C03AA03","HYDROCHLOROTHIAZIDE","40:28.20","THIAZIDE DIURETICS"
"7355","A09AC02","MULTIENZYMES AND ACID PREPARATIONS","56:16.00","DIGESTANTS"
"7356","","","88:29.00*","MINERALS"
"7358","A06AA01","LIQUID PARAFFIN","56:12.00","CATHARTICS AND LAXATIVES"
"73586","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"73588","D08AC02","CHLORHEXIDINE","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES"
"7359","D08AX05","ISOPROPANOL","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES"
"73596","D02BA02","OCTYL METHOXYCINNAMATE","84:80.00","SUNSCREEN AGENTS"
"73597","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"73598","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"736","A10BB03","TOLBUTAMIDE","68:20.20","SULFONYLUREAS"
"7360","","","84:12.00","ASTRINGENTS AND DEODORANTS"
"73602","D08AE05","CHLOROXYLENOL","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES"
"73603","D08AE05","CHLOROXYLENOL","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES"
"73609","D02BA02","OCTYL METHOXYCINNAMATE","84:80.00","SUNSCREEN AGENTS"
"7361","A02AD01","ORDINARY SALT COMBINATIONS","56:04.00","ANTACIDS AND ADSORBENTS"
"73610","D11AX12","PYRITHIONE ZINC","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES"
"73645","S01XA20","ARTIFICIAL TEARS AND OTHER INDIFFERENT PREP.","52:92.00","EENT DRUGS, MISCELLANEOUS"
"73647","N06AB04","CITALOPRAM","28:16.04.20","SELECTIVE-SEROTONIN REUPTAKE INHIBITORS"
"73649","N06AB04","CITALOPRAM","28:16.04.20","SELECTIVE-SEROTONIN REUPTAKE INHIBITORS"
"73653","D02BA02","OCTYL METHOXYCINNAMATE","84:80.00","SUNSCREEN AGENTS"
"73654","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"73666","J01MA02","CIPROFLOXACIN","08:12.18","QUINOLONES"
"73667","J01MA02","CIPROFLOXACIN","08:12.18","QUINOLONES"
"73668","J01MA02","CIPROFLOXACIN","08:12.18","QUINOLONES"
"73671","D08AE04","TRICLOSAN","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES"
"73673","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"73674","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"7368","V08BA01","BARIUM SULPHATE WITH SUSPENDING AGENTS","36:68.00","ROENTGENOGRAPHY"
"73682","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"73684","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)"
"7369","V08BA01","BARIUM SULPHATE WITH SUSPENDING AGENTS","36:68.00","ROENTGENOGRAPHY"
"73696","D11AX12","PYRITHIONE ZINC","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES"
"737","N05BA02","CHLORDIAZEPOXIDE","28:24.08","BENZODIAZEPINES"
"7370","B05ZA","HEMODIALYTICS, CONCENTRATES","40:34.00*","HEMODIALYSIS SOLUTION"
"73700","N06AB04","CITALOPRAM","28:16.04.20","SELECTIVE-SEROTONIN REUPTAKE INHIBITORS"
"73701","N06AB04","CITALOPRAM","28:16.04.20","SELECTIVE-SEROTONIN REUPTAKE INHIBITORS"
"73707","D08AJ01","BENZALKONIUM","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES"
"7371","B05ZA","HEMODIALYTICS, CONCENTRATES","40:34.00*","HEMODIALYSIS SOLUTION"
"73711","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"73715","N06AX11","MIRTAZAPINE","28:16.04.92","MISCELLANEOUS ANTIDEPRESSANTS"
"7372","B05ZA","HEMODIALYTICS, CONCENTRATES","40:34.00*","HEMODIALYSIS SOLUTION"
"73725","N02BE01","ACETAMINOPHEN (PARACETAMOL)","28:08.92","MISCELLANEOUS ANALGESICS AND ANTIPYRETICS"
"73727","N02BA01","ACETYLSALICYLIC ACID","28:08.04.24","SALICYLATES"
"73728","N02BE01","ACETAMINOPHEN (PARACETAMOL)","28:08.92","MISCELLANEOUS ANALGESICS AND ANTIPYRETICS"
"7373","B05ZA","HEMODIALYTICS, CONCENTRATES","40:34.00*","HEMODIALYSIS SOLUTION"
"73730","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"73731","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"73732","R02AD51","BENZOCAINE, COMBINATIONS","52:16.00","LOCAL ANESTHETICS"
"73739","D08AE05","CHLOROXYLENOL","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES"
"7374","B05ZA","HEMODIALYTICS, CONCENTRATES","40:34.00*","HEMODIALYSIS SOLUTION"
"73741","D08AE55","CHLOROXYLENOL, COMBINATIONS","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES"
"73743","N02BE51","ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS","04:04.04","ETHANOLAMINE DERIVATIVES"
"73743","N02BE51","ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS","28:08.92","MISCELLANEOUS ANALGESICS AND ANTIPYRETICS"
"73746","D08AG02","POVIDONE-IODINE","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES"
"73749","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"7375","B05ZA","HEMODIALYTICS, CONCENTRATES","40:34.00*","HEMODIALYSIS SOLUTION"
"73756","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"7376","A06AD04","MAGNESIUM SULPHATE","56:12.00","CATHARTICS AND LAXATIVES"
"73760","D08AE04","TRICLOSAN","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES"
"7377","A06AX01","GLYCEROL","56:12.00","CATHARTICS AND LAXATIVES"
"73773","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)"
"7378","D08AX01","HYDROGEN PEROXIDE","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES"
"73780","A06AB52","BISACODYL, COMBINATIONS","56:12.00","CATHARTICS AND LAXATIVES"
"7379","","","92:01.00*","HERBS AND NATURAL PRODUCTS"
"738","QA07AA51","NEOMYCIN, COMBINATIONS","",""
"7380","A12CX","OTHER MINERAL PRODUCTS","88:29.00*","MINERALS"
"73805","D02BA02","OCTYL METHOXYCINNAMATE","84:80.00","SUNSCREEN AGENTS"
"7381","A12CB03","ZINC PROTEIN COMPLEX","88:29.00*","MINERALS"
"7382","B03AE10","VARIOUS COMBINATIONS","20:04.04","IRON PREPARATIONS"
"73821","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"73822","N02BE51","ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS","12:12.12","ALPHA-AND BETA-ADRENERGIC AGONISTS"
"73822","N02BE51","ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS","28:08.92","MISCELLANEOUS ANALGESICS AND ANTIPYRETICS"
"73823","N02BE51","ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS","04:04.04","ETHANOLAMINE DERIVATIVES"
"73823","N02BE51","ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS","28:08.92","MISCELLANEOUS ANALGESICS AND ANTIPYRETICS"
"73828","R06AA02","DIPHENHYDRAMINE","04:04.04","ETHANOLAMINE DERIVATIVES"
"7383","A12CX","OTHER MINERAL PRODUCTS","88:29.00*","MINERALS"
"73831","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"73833","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"7384","C07AA05","PROPRANOLOL","24:24.00","BETA-ADRENERGIC BLOCKING AGENTS"
"73843","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"73845","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"73846","C07AB02","METOPROLOL","24:24.00","BETA-ADRENERGIC BLOCKING AGENTS"
"73847","C07AB02","METOPROLOL","24:24.00","BETA-ADRENERGIC BLOCKING AGENTS"
"73848","C07AB02","METOPROLOL","24:24.00","BETA-ADRENERGIC BLOCKING AGENTS"
"7385","A11JB","VITAMINS WITH MINERALS","88:28.01*","VITAMINS & MINERALS"
"73858","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)"
"7386","A11JB","VITAMINS WITH MINERALS","88:28.01*","VITAMINS & MINERALS"
"7387","","","88:29.00*","MINERALS"
"73880","D11AA","ANTIHIDROTICS","84:12.00","ASTRINGENTS AND DEODORANTS"
"73881","D11AA","ANTIHIDROTICS","84:12.00","ASTRINGENTS AND DEODORANTS"
"73882","D11AA","ANTIHIDROTICS","84:12.00","ASTRINGENTS AND DEODORANTS"
"73884","D11AA","ANTIHIDROTICS","84:12.00","ASTRINGENTS AND DEODORANTS"
"73887","S01AE03","CIPROFLOXACIN","52:04.04","ANTIBACTERIALS"
"7389","N05AD01","HALOPERIDOL","28:16.08.08","BUTYROPHENONES"
"739","A11EA","VITAMIN B-COMPLEX, PLAIN","88:08.00","VITAMIN B COMPLEX"
"7390","N05AD01","HALOPERIDOL","28:16.08.08","BUTYROPHENONES"
"73931","R05DA09","DEXTROMETHORPHAN","48:08.00","ANTITUSSIVES"
"73933","R06AA02","DIPHENHYDRAMINE","04:04.04","ETHANOLAMINE DERIVATIVES"
"73943","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)"
"73944","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS"
"73946","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS"
"73949","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)"
"7395","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)"
"73953","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)"
"7396","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS"
"7397","A11JB","VITAMINS WITH MINERALS","88:28.01*","VITAMINS & MINERALS"
"7398","","","88:28.00","MULTIVITAMIN PREPARATIONS"
"73981","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"73982","D08AE04","TRICLOSAN","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES"
"73984","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)"
"73988","A10BB09","GLICLAZIDE","68:20.20","SULFONYLUREAS"
"7399","A11JB","VITAMINS WITH MINERALS","88:28.01*","VITAMINS & MINERALS"
"73992","N06AB05","PAROXETINE","28:16.04.20","SELECTIVE-SEROTONIN REUPTAKE INHIBITORS"
"73993","N06AB05","PAROXETINE","28:16.04.20","SELECTIVE-SEROTONIN REUPTAKE INHIBITORS"
"73996","C08DB01","DILTIAZEM","24:28.92","MISCELLANEOUS CALCIUM-CHANNEL BLOCKING AGENTS"
"73997","C08DB01","DILTIAZEM","24:28.92","MISCELLANEOUS CALCIUM-CHANNEL BLOCKING AGENTS"
"73998","C08DB01","DILTIAZEM","24:28.92","MISCELLANEOUS CALCIUM-CHANNEL BLOCKING AGENTS"
"73999","C08DB01","DILTIAZEM","24:28.92","MISCELLANEOUS CALCIUM-CHANNEL BLOCKING AGENTS"
"7400","A11GA01","ASCORBIC ACID (VIT C)","88:12.00","VITAMIN C"
"74002","C10AB04","GEMFIBROZIL","24:06.06","FRIBIC ACID DERIVATIVES"
"74009","N02BE51","ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS","48:08.00","ANTITUSSIVES"
"74010","N02BE51","ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS","48:08.00","ANTITUSSIVES"
"74019","D11AA","ANTIHIDROTICS","84:12.00","ASTRINGENTS AND DEODORANTS"
"74020","D11AA","ANTIHIDROTICS","84:12.00","ASTRINGENTS AND DEODORANTS"
"74023","D11AA","ANTIHIDROTICS","84:12.00","ASTRINGENTS AND DEODORANTS"
"74027","D11AA","ANTIHIDROTICS","84:12.00","ASTRINGENTS AND DEODORANTS"
"74029","D11AA","ANTIHIDROTICS","84:12.00","ASTRINGENTS AND DEODORANTS"
"74030","D11AA","ANTIHIDROTICS","84:12.00","ASTRINGENTS AND DEODORANTS"
"74031","D11AA","ANTIHIDROTICS","84:12.00","ASTRINGENTS AND DEODORANTS"
"74032","D11AA","ANTIHIDROTICS","84:12.00","ASTRINGENTS AND DEODORANTS"
"74033","D11AA","ANTIHIDROTICS","84:12.00","ASTRINGENTS AND DEODORANTS"
"74034","D11AA","ANTIHIDROTICS","84:12.00","ASTRINGENTS AND DEODORANTS"
"74035","D11AA","ANTIHIDROTICS","84:12.00","ASTRINGENTS AND DEODORANTS"
"74036","D11AA","ANTIHIDROTICS","84:12.00","ASTRINGENTS AND DEODORANTS"
"74041","D11AA","ANTIHIDROTICS","84:12.00","ASTRINGENTS AND DEODORANTS"
"74045","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"74046","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"74055","D08AE04","TRICLOSAN","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES"
"74060","N02BA01","ACETYLSALICYLIC ACID","28:08.04.24","SALICYLATES"
"74063","N02BA01","ACETYLSALICYLIC ACID","28:08.04.24","SALICYLATES"
"74064","N02BE51","ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS","04:04.04","ETHANOLAMINE DERIVATIVES"
"74064","N02BE51","ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS","28:08.92","MISCELLANEOUS ANALGESICS AND ANTIPYRETICS"
"74076","N05CD02","NITRAZEPAM","28:24.08","BENZODIAZEPINES"
"74077","N05CD02","NITRAZEPAM","28:24.08","BENZODIAZEPINES"
"74078","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"74087","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"7409","D02AB","ZINC PRODUCTS","84:24.12","BASIC OINTMENTS AND PROTECTANTS"
"74096","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"74098","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)"
"74099","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"741","N06AA09","AMITRIPTYLINE","28:16.04.28","TRICYCLICS AND OTHER NOREPINEPHRINE-REUPTAKE INHIBITORS"
"7410","D08AB","ALUMINIUM AGENTS","84:12.00","ASTRINGENTS AND DEODORANTS"
"74102","D04AB01","LIDOCAINE","84:08.00","ANTIPRURITICS AND LOCAL ANESTHETICS"
"74105","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"7411","A06AB05","CASTOR OIL","56:12.00","CATHARTICS AND LAXATIVES"
"74113","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)"
"74123","D11AA","ANTIHIDROTICS","84:12.00","ASTRINGENTS AND DEODORANTS"
"7413","","","92:01.00*","HERBS AND NATURAL PRODUCTS"
"7414","J01FA01","ERYTHROMYCIN","08:12.12.04","ERYTHROMYCINS"
"74144","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)"
"74145","D08AJ01","BENZALKONIUM","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES"
"74146","D10AE01","BENZOYL PEROXIDE","84:28.00","KERATOLYTIC AGENTS"
"74149","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS"
"7415","D11AA","ANTIHIDROTICS","84:12.00","ASTRINGENTS AND DEODORANTS"
"74151","B05ZA","HEMODIALYTICS, CONCENTRATES","40:34.00*","HEMODIALYSIS SOLUTION"
"74158","D08AX58","ETHANOL, COMBINATIONS","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES"
"74159","A01AD11","VARIOUS","52:16.00","LOCAL ANESTHETICS"
"7416","A06AD11","LACTULOSE","40:10.00","AMMONIA DETOXICANTS"
